"Channel","Simulated","Experimental","Energy (keV)","16O (RBS)","17O (RBS)","18O (RBS)","28Si (RBS)","29Si (RBS)","30Si (RBS)","197Au (RBS)"
190,9.532550e+02,984,346.061,1.795645e+02,7.012068e-02,7.647793e-02,7.131047e+02,3.636391e+01,2.407532e+01,0
191,9.511880e+02,957,347.774,1.791350e+02,7.018439e-02,9.360926e-02,7.115796e+02,3.628598e+01,2.402358e+01,0
192,9.491405e+02,977,349.487,1.787096e+02,7.017288e-02,1.126740e-01,7.100669e+02,3.620880e+01,2.397232e+01,0
193,9.471117e+02,989,351.2,1.782890e+02,7.010895e-02,1.333822e-01,7.085654e+02,3.613223e+01,2.392153e+01,0
194,9.451031e+02,988,352.913,1.778727e+02,7.000981e-02,1.553244e-01,7.070777e+02,3.605624e+01,2.387110e+01,0
195,9.431160e+02,953,354.626,1.774610e+02,6.988747e-02,1.779975e-01,7.056050e+02,3.598095e+01,2.382112e+01,0
196,9.411499e+02,961,356.339,1.770527e+02,6.975067e-02,2.008455e-01,7.041485e+02,3.590642e+01,2.377164e+01,0
197,9.392043e+02,950,358.052,1.766473e+02,6.960476e-02,2.233371e-01,7.027086e+02,3.583271e+01,2.372271e+01,0
198,9.372770e+02,928,359.765,1.762440e+02,6.945364e-02,2.450344e-01,7.012844e+02,3.575984e+01,2.367432e+01,0
199,9.353678e+02,896,361.477,1.758431e+02,6.929933e-02,2.655770e-01,6.998756e+02,3.568774e+01,2.362650e+01,0
200,9.334736e+02,972,363.19,1.754454e+02,6.914366e-02,2.844908e-01,6.984789e+02,3.561643e+01,2.357920e+01,0
201,9.315920e+02,947,364.903,1.750504e+02,6.898790e-02,3.013905e-01,6.970932e+02,3.554573e+01,2.353235e+01,0
202,9.297201e+02,946,366.616,1.746586e+02,6.883261e-02,3.160629e-01,6.957151e+02,3.547559e+01,2.348593e+01,0
203,9.278581e+02,1002,368.329,1.742689e+02,6.867843e-02,3.284444e-01,6.943464e+02,3.540583e+01,2.343979e+01,0
204,9.260075e+02,913,370.042,1.738815e+02,6.852518e-02,3.386010e-01,6.929883e+02,3.533655e+01,2.339396e+01,0
205,9.241690e+02,932,371.755,1.734956e+02,6.837323e-02,3.466905e-01,6.916421e+02,3.526779e+01,2.334849e+01,0
206,9.223439e+02,894,373.468,1.731122e+02,6.822215e-02,3.529372e-01,6.903075e+02,3.519962e+01,2.330340e+01,0
207,9.205338e+02,964,375.181,1.727324e+02,6.807232e-02,3.575983e-01,6.889850e+02,3.513203e+01,2.325871e+01,0
208,9.187384e+02,965,376.894,1.723562e+02,6.792396e-02,3.609385e-01,6.876739e+02,3.506506e+01,2.321443e+01,0
209,9.169567e+02,940,378.607,1.719846e+02,6.777730e-02,3.632114e-01,6.863720e+02,3.499864e+01,2.317053e+01,0
210,9.151873e+02,933,380.32,1.716167e+02,6.763242e-02,3.646456e-01,6.850786e+02,3.493273e+01,2.312701e+01,0
211,9.134275e+02,919,382.033,1.712530e+02,6.748912e-02,3.654393e-01,6.837906e+02,3.486723e+01,2.308377e+01,0
212,9.116777e+02,948,383.746,1.708925e+02,6.734741e-02,3.657556e-01,6.825093e+02,3.480204e+01,2.304079e+01,0
213,9.099409e+02,918,385.459,1.705362e+02,6.720684e-02,3.657263e-01,6.812366e+02,3.473716e+01,2.299799e+01,0
214,9.082193e+02,1004,387.172,1.701846e+02,6.706751e-02,3.654543e-01,6.799741e+02,3.467270e+01,2.295542e+01,0
215,9.065135e+02,988,388.885,1.698374e+02,6.692950e-02,3.650182e-01,6.787223e+02,3.460873e+01,2.291314e+01,0
216,9.048249e+02,951,390.598,1.694948e+02,6.679307e-02,3.644730e-01,6.774823e+02,3.454530e+01,2.287120e+01,0
217,9.031516e+02,905,392.311,1.691556e+02,6.665807e-02,3.638597e-01,6.762533e+02,3.448246e+01,2.282960e+01,0
218,9.014932e+02,937,394.023,1.688197e+02,6.652460e-02,3.632033e-01,6.750352e+02,3.442017e+01,2.278838e+01,0
219,8.998466e+02,917,395.736,1.684856e+02,6.639235e-02,3.625229e-01,6.738261e+02,3.435848e+01,2.274752e+01,0
220,8.982101e+02,864,397.449,1.681538e+02,6.626119e-02,3.618276e-01,6.726239e+02,3.429724e+01,2.270699e+01,0
221,8.965833e+02,905,399.162,1.678247e+02,6.613087e-02,3.611261e-01,6.714282e+02,3.423644e+01,2.266676e+01,0
222,8.949680e+02,940,400.875,1.674979e+02,6.600153e-02,3.604238e-01,6.702410e+02,3.417595e+01,2.262676e+01,0
